genes	Mf_mean	Mm_mean	theta	prob	log2FC
Rphi_RPHIM00000020122	4.39187044026667	0.1	1.93488001238784	0.999999999999999	5.45676359050057
Rphi_RPHIM00000010974	0.1	51.5650135303667	-3.60771570281631	0.999999999999999	-9.01024872973037
Rphi_RPHIM00000020072	1.71774071916667	42.0451788873	-2.26161704754453	0.999999999999999	-4.61335618986731
Rphi_RPHIM00000004093	0.1	14.3988625462667	-3.13333301708933	0.999999999999999	-7.16981103868711
Rphi_RPHIM00000035618	0.1	18.2509608470333	-3.17089639663718	0.999999999999999	-7.51182860843916
Rphi_RPHIM00000005170	0.1	3.82871035036667	-1.93496237080057	0.999999999999999	-5.25878661642415
Rphi_RPHIM00000005948	0.457639148766667	36.5169092806	-1.80053181441933	0.999999999999999	-6.31821038056882
Rphi_RPHIM00000026496	437.144445422833	199.444916617067	1.80072319095996	0.999999999999999	1.13211971452889
Rphi_RPHIM00000015691	0.1	23.0513659555667	-3.72724454094513	0.999999999999999	-7.84870843279087
Rphi_RPHIM00000018314	0.1	4.31039180896667	-1.86700713316715	0.999999999999999	-5.42974710925085
Rphi_RPHIM00000002350	78.3789688964333	6.95529693246667	1.91624473610029	0.999999999999999	3.49428258179727
Rphi_RPHIM00000006370	146.8799987499	863.460237584667	-2.36261366671394	0.999999999999999	-2.55549179147239
Rphi_RPHIM00000009934	1.53454560816667	38.5184360022333	-1.80843017061441	0.999999999999999	-4.64966569552729
Rphi_RPHIM00000027482	0.1	17.4928570278	-3.0168260190238	0.999999999999999	-7.45062212701722
Rphi_RPHIM00000026948	4.2801040561	66.6377692900667	-1.75911423183443	0.999999999999999	-3.96062233070169
Rphi_RPHIM00000008347	2595.29813209	3799.31772494253	-2.32041774594284	0.999999999999999	-0.549840088929321
Rphi_RPHIM00000007981	4.76708752506667	132.499337845667	-2.42760189628366	0.999999999999999	-4.7967332257839
Rphi_RPHIM00000000663	549.361028783333	1015.0571622125	-1.84687019501352	0.999999999999999	-0.885734498465306
Rphi_RPHIM00000015253	0.1	14.7699845080667	-2.98873629803927	0.999999999999999	-7.20652450266503
Rphi_RPHIM00000036026	0.7859339773	64.7909510954333	-1.84320965665016	0.999999999999999	-6.3652404023068
Rphi_RPHIM00000009133	38.5433255771333	203.654893911333	-2.10492010530559	0.999999999999999	-2.40157352326315
Rphi_RPHIM00000000029	720.963833690567	82.7078220929667	5.28494252550906	0.999999999999999	3.12383120631077
Rphi_RPHIM00000012924	28.6596122961	243.036887876333	-1.83467427716961	0.999999999999999	-3.08408430291125
Rphi_RPHIM00000004212	115.179679011133	719.708078724	-2.04818815733856	0.999999999999999	-2.64352564612401
Rphi_RPHIM00000000778	6.9454827039	166.032331082867	-2.13038683491812	0.999999999999999	-4.57924542778228
Rphi_RPHIM00000027176	0.1	22.3540847917667	-3.68497103353621	0.999999999999999	-7.80439467086404
Rphi_RPHIM00000025510	39.1648351516	163.802923805233	-1.85267235851766	0.999999999999999	-2.06433031757647
Rphi_RPHIM00000020214	4.3291927867	75.5908867968	-1.98594866855216	0.999999999999999	-4.12604236138224
Rphi_RPHIM00000008063	998.415250399633	2673.84595839537	-3.08800459453179	0.999999999999999	-1.42120447736203
Rphi_RPHIM00000034485	0.1	14.9131361054333	-2.44447362144529	0.999999999999999	-7.22043986577281
Rphi_RPHIM00000020102	0.1	16.7981927913667	-3.07623682230961	0.999999999999999	-7.392162220923
Rphi_RPHIM00000033541	0.1	5.18980826826667	-1.77979197507372	0.999999999999998	-5.69760933568047
Rphi_RPHIM00000024919	0.6741675931	85.3343089729667	-2.28801514878037	0.999999999999998	-6.98387480944616
Rphi_RPHIM00000013890	0.848611630866667	281.398870733267	-3.0401258365776	0.999999999999998	-8.37329637165099
Rphi_RPHIM00000003295	78.5768495241667	373.2266040856	-1.98369638135986	0.999999999999998	-2.24787559669734
Rphi_RPHIM00000012466	1521.89352360707	2883.5726924202	-1.98615431855888	0.999999999999998	-0.921989965020159
Rphi_RPHIM00000015276	0.1	54.6789613313667	-3.07468838247523	0.999999999999998	-9.09484202788478
Rphi_RPHIM00000019018	301.905154019533	1656.53392568217	-1.95895189197859	0.999999999999998	-2.45600045863925
Rphi_RPHIM00000005466	0.1	5.6840560112	-1.95919961092424	0.999999999999998	-5.828848865985
Rphi_RPHIM00000031172	9.8420485995	106.7665043707	-2.28639372860798	0.999999999999998	-3.43935665368917
Rphi_RPHIM00000015213	10474.8953826609	12339.0208032541	-2.40525179862307	0.999999999999998	-0.236292074845508
Rphi_RPHIM00000010195	41.2018624824667	299.483830271667	-2.59059672108835	0.999999999999998	-2.86169665178551
Rphi_RPHIM00000009182	0.1	18.4154876545667	-2.41112619112676	0.999999999999998	-7.52477579105853
Rphi_RPHIM00000015742	1.80496273806667	40.850424892	-1.95455570364389	0.999999999999998	-4.5003101248476
Rphi_RPHIM00000030860	178.118530754733	503.962089270067	-1.97023981954122	0.999999999999998	-1.50047759395967
Rphi_RPHIM00000009791	0.848611630866667	73.7567719321333	-1.98640095289048	0.999999999999998	-6.44152725337056
Rphi_RPHIM00000024165	21.4686765527667	492.522739716633	-2.33126490959072	0.999999999999998	-4.51988517176829
Rphi_RPHIM00000015692	0.1	23.2933830746	-3.18794022235435	0.999999999999998	-7.86377637807822
Rphi_RPHIM00000020618	23.1399620218	161.123122438133	-1.97987889653235	0.999999999999998	-2.79970514525908
Rphi_RPHIM00000022281	9072.12972271033	202.600685928267	2.76086078506361	0.999999999999998	5.4847303059037
Rphi_RPHIM00000026621	28.6646109321	461.485418394033	-2.5110472461533	0.999999999999998	-4.0089424611715
Rphi_RPHIM00000004129	108.8295352825	284.527073432033	-2.13157737914595	0.999999999999998	-1.38649579175235
Rphi_RPHIM00000033326	0.1	19.2217832961	-3.92107181530427	0.999999999999998	-7.58659837776428
Rphi_RPHIM00000002511	61.3556241533	755.6271918659	-2.4314444083642	0.999999999999998	-3.62240711975956
Rphi_RPHIM00000024494	3.32371505416667	648.798029013967	-3.96829122881329	0.999999999999998	-7.60882892302801
Rphi_RPHIM00000023110	328.009363851633	63.6535305189667	2.7335511757916	0.999999999999998	2.36542456079432
Rphi_RPHIM00000024558	0.1	5.3994974347	-2.30919464958844	0.999999999999998	-5.75475322768062
Rphi_RPHIM00000009500	3.18260434973333	205.156215113933	-2.48953360140874	0.999999999999998	-6.01037123314721
Rphi_RPHIM00000028490	0.1	5.29465285146667	-2.15557562059265	0.999999999999998	-5.72646419064684
Rphi_RPHIM00000010081	746.912674207433	379.149599115933	1.94893466185731	0.999999999999998	0.978172381701375
Rphi_RPHIM00000006639	0.1	28.0240255255667	-3.95481013723706	0.999999999999998	-8.13052039710069
Rphi_RPHIM00000026822	0.1	28.6944255284	-2.49934647541863	0.999999999999998	-8.16462668125171
Rphi_RPHIM00000019180	0.1	16.4561736936333	-2.51140446551525	0.999999999999998	-7.36248511636451
Rphi_RPHIM00000014457	0.1	28.3958241712667	-3.75995397506337	0.999999999999998	-8.14953497547811
Rphi_RPHIM00000007982	7.80960197473333	124.520796172533	-2.39053466899166	0.999999999999997	-3.99499387451669
Rphi_RPHIM00000031777	9.22074888763333	153.7518778298	-2.60070870133071	0.999999999999997	-4.05957629278795
Rphi_RPHIM00000028167	1.53454560816667	48.9445642915667	-1.96522545803951	0.999999999999997	-4.99526521538725
Rphi_RPHIM00000020425	0.1	17.1343013503667	-3.1833645884543	0.999999999999997	-7.42074355706745
Rphi_RPHIM00000011323	0.1	21.8516323102667	-2.40947778814478	0.999999999999997	-7.77159724240534
Rphi_RPHIM00000022018	0.1	17.5553557787333	-2.35065498514088	0.999999999999997	-7.45576742410294
Rphi_RPHIM00000029920	0.1	20.1492565273333	-2.44838980990525	0.999999999999997	-7.65458279656183
Rphi_RPHIM00000018258	9.8039153113	170.6062675829	-2.50063367366398	0.999999999999997	-4.12116881597118
Rphi_RPHIM00000020389	7.58627906893333	150.8800915618	-2.45073434255734	0.999999999999997	-4.31386620280051
Rphi_RPHIM00000003147	107.568707767167	364.505680044133	-1.98759493224042	0.999999999999997	-1.76068284376384
Rphi_RPHIM00000030242	14.6255795721	213.970748137333	-2.52803582617159	0.999999999999997	-3.87084787875792
Rphi_RPHIM00000024171	0.1	32.4586795728	-3.03204426871118	0.999999999999997	-8.34246050165937
Rphi_RPHIM00000005327	0.1	48.7949525738667	-3.95886409567891	0.999999999999997	-8.93058811065174
Rphi_RPHIM00000026098	0.1	24.2178308164333	-3.20457580379538	0.999999999999997	-7.91992583884813
Rphi_RPHIM00000002942	0.1	6.02675179293333	-2.49010764300139	0.999999999999997	-5.91330874463445
Rphi_RPHIM00000026622	27.5454213849667	310.7375854424	-2.37435854744496	0.999999999999997	-3.49581231574095
Rphi_RPHIM00000003525	0.1	10.1624678382667	-2.48539579602835	0.999999999999997	-6.66710697630414
Rphi_RPHIM00000000686	0.1	20.0296239567	-3.89506366137395	0.999999999999997	-7.64599152550863
Rphi_RPHIM00000012837	0.1	19.9214857621333	-3.8161237309226	0.999999999999997	-7.63818143867307
Rphi_RPHIM00000006973	0.1	18.5061524115333	-2.51199026892672	0.999999999999997	-7.53186116743595
Rphi_RPHIM00000020828	0.1	94.382321706	-3.96749464516648	0.999999999999997	-9.88237285046896
Rphi_RPHIM00000011859	0.1	8.89035460783333	-2.52840410508628	0.999999999999997	-6.47416905958466
Rphi_RPHIM00000007546	14.7011580983667	0.1	2.74986321286412	0.999999999999997	7.19978599905133
Rphi_RPHIM00000008513	356.3900692596	132.8057353795	1.79430553794305	0.999999999999997	1.42413968440628
Rphi_RPHIM00000004998	136.564936853667	520.775466672433	-3.8357132617074	0.999999999999996	-1.93107436768572
Rphi_RPHIM00000006650	2958.85612969963	266.718642071167	2.84070281203833	0.999999999999996	3.47164897971925
