genes	Ff_mean	Fm_mean	theta	prob	log2FC
Rphi_RPHIM00000023246	380.0623388097	221.2496274026	0.860567351668187	0.975489585735967	0.780561046929957
Rphi_RPHIM00000004431	1057.31133501373	394.362796923433	1.03333860220793	0.975487525495374	1.42280489059934
Rphi_RPHIM00000017621	289.470661930067	174.032117415033	0.701493349855125	0.975429777856963	0.734063559137798
Rphi_RPHIM00000016716	91.1776445729333	35.7274976446	0.77953120851345	0.975416821380527	1.35164526894784
Rphi_RPHIM00000016522	323.3103685131	106.358542807733	1.29454658386473	0.975403465243324	1.6039838587776
Rphi_RPHIM00000029964	2351.98661356823	1236.53889768373	0.830784695808237	0.975402000138428	0.92757222587838
Rphi_RPHIM00000007555	77.9828595788333	28.1294312468667	0.779485359125624	0.975400643527931	1.47107667547609
Rphi_RPHIM00000027094	24.6732780733	3.58076225383333	0.830827701071499	0.975393993594424	2.7846107651312
Rphi_RPHIM00000026517	187.5369829512	56.1757777306667	1.03440744103584	0.975388350818495	1.7391550300112
Rphi_RPHIM00000009680	24.0192333372	2.34321676956667	0.701359749776898	0.975384994211668	3.35762777448908
Rphi_RPHIM00000009226	28.4309962655	2.7510317995	0.85998456590969	0.975376477119116	3.36941993299252
Rphi_RPHIM00000010867	408.704519385333	160.122790263333	0.830926235138147	0.975375638860347	1.35187953539125
Rphi_RPHIM00000000401	884.211852951867	458.485930602	1.25559397615737	0.975358405926402	0.947514610879147
Rphi_RPHIM00000008036	101.857705233733	31.1452976646667	0.831020482280958	0.975358069562203	1.70946885418008
Rphi_RPHIM00000009442	773.7999817863	256.7750684679	0.859645542573997	0.975310920497551	1.5914555637952
Rphi_RPHIM00000032071	201.4983161168	106.953629177533	0.701086144218417	0.975293382394319	0.913782345249163
Rphi_RPHIM00000006112	1.49765772466667	0.1	1.03554520781474	0.975278882429417	3.90463604221658
Rphi_RPHIM00000023559	1.49765772466667	0.1	1.03554520781474	0.975278882429417	3.90463604221658
Rphi_RPHIM00000013718	32.3060103389667	4.52875552276667	0.831450241697308	0.975277791913556	2.83461602948451
Rphi_RPHIM00000028231	274.413295055733	159.193760680167	0.701022552509932	0.975272115020672	0.785566587276089
Rphi_RPHIM00000019029	622.851707536567	238.730180922667	0.859440163471353	0.97527192899652	1.38350775079248
Rphi_RPHIM00000014054	159.948312436467	62.9583141383	0.859415555099513	0.975267473837382	1.3451369563063
Rphi_RPHIM00000012502	741.799836411867	279.8985682883	0.700870610184663	0.975221338336369	1.4061258422981
Rphi_RPHIM00000001854	77.0481812856667	16.7094786233333	0.700806435426789	0.975199908384431	2.20509418399317
Rphi_RPHIM00000033370	103.386193769867	21.9811030011	0.858895096426293	0.97517345374695	2.2337078535376
Rphi_RPHIM00000034279	58.1628137807	18.0989850391	0.700673434831534	0.975155525974316	1.68418826950801
Rphi_RPHIM00000035846	106.105675680133	32.9265739279667	0.832223036325972	0.975140084625954	1.68817751954577
Rphi_RPHIM00000033904	128.463167225267	41.8062605724333	0.858540218610133	0.97510956927208	1.619563861149
Rphi_RPHIM00000009046	740.3335101386	366.563756349867	0.858518565546654	0.975105677175721	1.01411118379298
Rphi_RPHIM00000029242	86.7644312865333	20.7229978004333	1.03744963223163	0.97508637964872	2.06587101791098
Rphi_RPHIM00000012077	481.350469880133	229.942343395367	0.745670728667143	0.975048143447597	1.06581553890241
Rphi_RPHIM00000001149	773.959646754	150.7545332494	1.26643249999731	0.974993841309951	2.36005696289647
Rphi_RPHIM00000005746	295.268613607733	150.8184851434	0.745848319905767	0.974990174756253	0.969214745284302
Rphi_RPHIM00000028198	812.5778811902	284.680326954167	1.25983480521805	0.974967771028639	1.51316329615295
Rphi_RPHIM00000027422	226.220828286333	66.6658711341	0.857458884962762	0.974923884875307	1.76271148172145
Rphi_RPHIM00000022672	148.803148719633	41.8981934984333	0.857323663523462	0.974901430877078	1.82844510814966
Rphi_RPHIM00000014570	538.383318839	241.6129294594	0.833689745152218	0.974894737516432	1.15593605063836
Rphi_RPHIM00000017708	1847.21867672557	1244.78258695313	1.2639805857798	0.974894002595653	0.569460881027354
Rphi_RPHIM00000026169	29.4917943577667	5.48988719226667	0.699885811102542	0.974893577994154	2.4254651926554
Rphi_RPHIM00000005004	572.6715439955	326.1467417841	1.26296601604955	0.974881178227649	0.812186701813862
Rphi_RPHIM00000005793	114.4584966176	31.2358604219333	0.857143392498574	0.974871533786833	1.87354938671092
Rphi_RPHIM00000002870	51.6433342624	5.56836548206667	0.857013294219306	0.974849984219897	3.21325633744047
Rphi_RPHIM00000000916	108.261178989633	30.8639882715	0.699740466118439	0.974845415414224	1.81051959915848
Rphi_RPHIM00000026452	7747.09762988643	5344.09543555663	0.834044905339253	0.974838430767929	0.535710148930477
Rphi_RPHIM00000008919	84.8924309143667	11.5657029207667	0.777691955122691	0.974779580577469	2.87578297720034
Rphi_RPHIM00000007419	665.3834353759	325.7411436728	0.856533150721153	0.974773396769331	1.03045999599119
Rphi_RPHIM00000010077	3467.5181579884	1310.21883677197	1.04050204694375	0.97476220479939	1.40409564213595
Rphi_RPHIM00000029235	298.456373188067	169.830462713767	0.746609517335116	0.974748999711046	0.813424800976161
Rphi_RPHIM00000021647	1490.63551777303	683.7085852209	0.85632285298116	0.974741795996669	1.12447409441906
Rphi_RPHIM00000013377	1148.14336212777	659.608215801667	1.04110460682932	0.974696848189929	0.799621520780064
Rphi_RPHIM00000030791	42.7037290803	2.32666631623333	1.04121352128142	0.97468512214422	4.19802583438615
Rphi_RPHIM00000002569	228.483194035867	127.3092305095	0.699117572712664	0.974639561751955	0.843751027380898
Rphi_RPHIM00000011239	3869.79419507417	1480.77924454027	0.855038951973134	0.974554905409354	1.38590026361806
Rphi_RPHIM00000017948	2245.1028809968	981.8945739086	0.836191381427148	0.974529709939424	1.19314152174286
Rphi_RPHIM00000011244	38.1512426452	9.63103074823333	0.747322706014566	0.97452342894055	1.98596793468345
Rphi_RPHIM00000002865	9399.66598720083	5659.69915600317	0.836245924083548	0.974522884076467	0.731884124242548
Rphi_RPHIM00000035541	1019.72448154037	473.5134336564	0.747373692150165	0.974508009599674	1.10670214345482
Rphi_RPHIM00000034732	186.983042478433	74.9581170206667	1.04296444433973	0.974496460823901	1.31875082034448
Rphi_RPHIM00000014838	2076.47457927997	1084.78346620503	0.836588663902371	0.974479924819364	0.936729115210193
Rphi_RPHIM00000005853	635.6115366799	374.677003980333	0.747499593543256	0.974469908951969	0.762497876454698
Rphi_RPHIM00000023923	16217.3368019819	6392.1287828645	0.83670614070857	0.974465173808158	1.34316854099188
Rphi_RPHIM00000004057	614.9408482776	313.6635780671	0.776605547597607	0.974418817150054	0.971229626676236
Rphi_RPHIM00000002868	48.3142112922667	10.2412958370667	0.747730399619614	0.974399968189054	2.23804933836459
Rphi_RPHIM00000016313	185.820624945033	77.5598459828667	0.747739190385169	0.974397301942054	1.26052879719412
Rphi_RPHIM00000028253	1246.5355566906	775.570441648867	0.837302548967873	0.974390076994064	0.684594309476132
Rphi_RPHIM00000026595	646.334993526267	379.685247717467	1.07941802350386	0.974361926490607	0.767478157756275
Rphi_RPHIM00000000848	183.0097550065	37.7436791151333	1.08224603768124	0.974354212930939	2.27761358731237
Rphi_RPHIM00000003767	383.352178599967	214.0331586511	1.07838827641085	0.974351413242176	0.840836058207056
Rphi_RPHIM00000018774	451.051761196233	181.492368232633	1.08312479926628	0.974341107350769	1.31338411778915
Rphi_RPHIM00000011210	278.255687334533	100.7210974265	1.08319171860036	0.974339863218549	1.46604526803514
Rphi_RPHIM00000000027	640.908385503	103.531615134133	1.07775741490017	0.97433951142787	2.63004675948609
